Timestamp                       Thread     Type        Activity             PID    TTL
2026-04-29 16:12:46.996117+0300 0x13b6a    Default     0x0                  3978   0    log: [com.apple.log:] log run noninteractively, parent: 3976 (sudo), args: 'log' 'show' '--predicate' 'eventMessage CONTAINS "NEWPKT_PROBE" OR eventMessage CONTAINS "NEWPACKET FINAL"' '--last' '30m'
2026-04-29 16:43:47.930980+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-TX] new=0xffffff98_9ffabc00 poolVtable=0xffffff7f_9f926678 (size=200 opts=0xffffff90_26e7fb40 owner=0xffffffbe_a5808000 ownerVtable=0xffffff7f_9f926928 pktCount=256 bufCount=256 bufSize=2048 maxBPP=1 memSegSz=0 poolFlags=0x1 type=1)
2026-04-29 16:43:47.937344+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: PACKETPOOL[AirportItlwm-TX] new=0xffffff98_9ffabc00 poolVtable=0xffffff7f_9f926678 (size=200 opts=0xffffff90_26e7fb40 owner=0xffffffbe_a5808000 ownerVtable=0xffffff7f_9f926928 pktCount=256 bufCount=256 bufSize=2048 maxBPP=1 memSegSz=0 poolFlags=0x1 type=1)
2026-04-29 16:43:47.937415+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE ENTER this=0xffffff98_9ffabc00 desc=0xffffff90_26e7f260
2026-04-29 16:43:47.954935+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE ENTER this=0xffffff98_9ffabc00 desc=0xffffff90_26e7f260
2026-04-29 16:43:47.954938+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IO80211 ret=0x0_0
2026-04-29 16:43:47.963695+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IO80211 ret=0x0_0
2026-04-29 16:43:47.963698+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IOSKYNET ret=0xffffffa7_6ce8e80
2026-04-29 16:43:47.972867+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IOSKYNET ret=0xffffffa7_6ce8e80
2026-04-29 16:43:47.972875+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IOSKY ret=0xffffffa7_6ce8f00
2026-04-29 16:43:47.981928+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_AC_IOSKY ret=0xffffffa7_6ce8f00
2026-04-29 16:43:47.981931+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_GMC_IO80211 sym=0xffffff9d_6d639e20 meta=0xffffff80_a8089f0
2026-04-29 16:43:47.991499+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_GMC_IO80211 sym=0xffffff9d_6d639e20 meta=0xffffff80_a8089f0
2026-04-29 16:43:47.991501+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_MA_IO80211 ret=0x0_0
2026-04-29 16:43:48.000854+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_MA_IO80211 ret=0x0_0
2026-04-29 16:43:48.000856+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_GMC_IOSKYNET sym=0xffffff9d_6c7da128 meta=0xffffff80_ae6d9c0
2026-04-29 16:43:48.010491+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_GMC_IOSKYNET sym=0xffffff9d_6c7da128 meta=0xffffff80_ae6d9c0
2026-04-29 16:43:48.010493+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_MA_IOSKYNET ret=0xffffffa7_6ce8f80
2026-04-29 16:43:48.019889+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_MA_IOSKYNET ret=0xffffffa7_6ce8f80
2026-04-29 16:43:48.019891+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_SNP_WP ret=0xffffffa7_6ce8000 vptr=0xffffff80_ae64a78
2026-04-29 16:43:48.029517+0300 0x906      Default     0x0                  0      0    kernel: (AirportItlwm) itlwm: itlwm: NEWPKT_PROBE BR_SNP_WP ret=0xffffffa7_6ce8000 vptr=0xffffff80_ae64a78
